Job_ID,Role,Seniority,Emp_Type,Job function,Industries,Job_Des,Link
4186289348,Business Analyst,Mid-Senior level,Full-time,Consulting,IT Services and IT Consulting,"Key Knowledge Areas : 1) Good knowledge in SWIFT Payments & Investigation 2) Thoroughly familiar with payment concepts i.e. MT103/110/111/202/210/304 3) Experience on banking products like LC, BG,Imports ,Retail FX,Export SWIFT messages 4) Awareness of the SWIFT Infrastructure (Technical and Functional) 5) Awareness on the SWIFT regulatory and CSP guidelines requirement 6) Ready to work on weekends / during DR drill and project related activities.7) Knowledge of IPLC, TSS abd PCS products. Functional Analyst - BTG is responsible for managing entire gamut of activities Software Project life cycle most importantly requirement conceptualizing, gathering, testing and roll-out.   Ability to articulate and define both functional and non-functional (performance etc) requirements for product  Ability to manage Audit and compliance of the application",https://www.linkedin.com/jobs/view/4186289348/
4186283899,Business Analyst,Executive,Full-time,Consulting,IT Services and IT Consulting,"Pre-Concept Discussion & process validation.Business Requirements DocumentationReview requirements from technical aspects Liaison with vendors for FS/UD preparation, review and closure. Liaise with vendor to neutralize the visible system impacts due to the change.Discussions with vendors for FSD finalization, review and sign off. Follow up with Vendor for timely release.Test case finalization, data preparation & execution Error Tracking and Follow up with vendor for timely resolution of the errors.Liaise with DBA/OS support team and other technical team for resolution of errors.Attend Project review meeting.Updating PMS / PMT / JIRA to keep all stake holders informed of the project status.Liaison with vendor for movement of the enhancement to production.Preparation of application release process note for clean rollout.Postproduction support.Document system functionalities to incorporate in the process notes.Preparation of Project Plan / Day zero scenario planning & Master maintenance and monitoring.Support in planning rollouts, configuration, and deployment of new versions of systems in terms of functionality. Investigate and analyze and provide workaround as interim measure and resolve application functionality related issues with vendor partner while providing first level support and troubleshooting",https://www.linkedin.com/jobs/view/4186283899/
4190270684,Power BI,Mid-Senior level,Full-time,Engineering and Information Technology,Business Consulting and Services,"KPMG in India, a professional services firm, is the Indian member firm affiliated with KPMG International and was established in September 1993. Our professionals leverage the global network of firms, providing detailed knowledge of local laws, regulations, markets, and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, and Vadodara.KPMG in India offers services to national and international clients in India across sectors. We strive to provide rapid, performance-based, industry-focussed, and technology-enabled services, which reflect a shared knowledge of global and local industries and our experience of the Indian business environment.KPMG Advisory professionals provide advice and assistance to enable companies, intermediaries, and public sector bodies to mitigate risk, improve performance, and create value. KPMG firms provide a wide range of Risk Advisory and Financial Advisory Services that can help clients respond to immediate needs as well as put in place the strategies for the longer term.Job Title: Assistant ManagerSkills: Power BILocation: Bengaluru, Mumbai, GurgaonResponsibilities and RequirementsA bachelor’s degree in engineering and approximately 6.5 - 9 years of Power BI Report development experience. or a master’s or MBA degree in business, computer science, information systems, engineering. Building Analysis Services reporting models. Developing visual reports, KPI scorecards, and dashboards using Power BI desktop. Connecting data sources, importing data, and transforming data for Business intelligence. Analytical thinking for translating data into informative reports and visuals. Capable of implementing row-level security on data along with an understanding of application security layer models in Power BI. Should have an edge over making DAX queries in Power BI desktop. Expert in using advanced-level calculations on the data set. Responsible for design methodology and project documentaries. Should be able to develop tabular and multidimensional models that are compatible with data warehouse standards. Very good communication skills must be able to discuss the requirements effectively with the client teams, and with internal teams. Experience working with Microsoft Business Intelligence Stack having Power BI, SSAS, SSRS, and SSIS Mandate to have experience with BI tools and systems such as Power BI, Tableau, and SAP. Must have 2-3years of experience in data-specific roles. Have knowledge of database fundamentals such as multidimensional database design, relational database design, and more Knowledge of all the Power BI products (Power Bi premium, Power BI server, Power BI services, Powerquery etc) Grip over data analytics Interact with customers to understand their business problems and provide best-in-class analytics solutions Proficient in SQL and Query performance tuning skills Understand data governance, quality and security and integrate analytics with these corporate platformsAttention to detail and ability to deliver accurate client outputsExperience of working with large and multiple datasets / data warehousesAbility to derive insights from data and analysis and create presentations for client teamsExperience with performance optimization of the dashboardsInteract with UX/UI designers to create best in class visualization for business harnessing all product capabilities.Resilience under pressure and against deadlines.Proactive attitude and an open outlook.Strong analytical problem-solving skillsSkill in identifying data issues and anomalies during the analysisStrong business acumen demonstrated an aptitude for analytics that incite actionAbility to execute on design requirements defined by businessAbility to understand required Power BI functionality from wireframes/ requirement documentsAbility to architect and design reporting solutions based on client needs.Being able to communicate with internal/external customers, desire to develop communication and client-facing skills.Ability to seamlessly work with MS Excel working knowledge of pivot table and related functionsGood to have:Experience in working with Azure and connecting synapse with TableauDemonstrate strength in data modelling, ETL development, and data warehousingKnowledge of leading large-scale data warehousing and analytics projects using Azure, Synapse, MS SQL DBGood knowledge of building/operating highly available, distribut.Equal employment opportunity information KPMG India has a policy of providing equal opportunity for all applicants and employees regardless of their colour, caste, religion, age, sex/gender, national origin, citizenship, sexual orientation, gender identity or expression, disability, or other legally protected status. KPMG India values diversity and we request you to submit the details below to support us in our endeavour for diversity. Providing the below information is voluntary and refusal to submit such information will not be prejudicial to you.",https://www.linkedin.com/jobs/view/4190270684/
4192811867,Data Analyst,Mid-Senior level,Full-time,"Finance, Accounting/Auditing, and Consulting",Food and Beverage Services,"OverviewPepsiCo is on a digital journey to become an intelligent company, leveraging data-driven solutions to maximize value across the business. Integrated Business Planning (IBP) is a key program supporting this transformation. The IBP Program Value Analyst will play a key role in ensuring the effective tracking, reporting, and analysis of IBP’s financial and operational benefits. The role will support value realization activities for IBP Program leveraging data analytics and visualization tools to drive actionable insights for stakeholders.Responsibilities• Develop and maintain Power BI dashboards, reports, and visualizations to support IBP value realization tracking.• Collect and process data from multiple functional domains to enable decision-making for IBP performance improvements.• Support the IBP Value Realization team in building development plans from technical specifications.• Ensure data accuracy and consistency across various reporting platforms.• Evaluate and improve existing Power BI and excel reports to enhance usability and business impact.• Conduct troubleshooting and quality assurance on models to ensure accuracy and performance.• Partner with sector IBP leads to provide insights on business performance and value realization metrics.• Collaborate with the IBP design teams (Planning, Product) to incorporate financial and operational value drivers into IBP processes and tools.• Support governance and reporting requirements related to IBP value realizationQualifications• 6 years plus of experience as a BI Developer or Data Analyst.• Strong proficiency in Power BI, SQL, and data visualization techniques.• Experience with database programming and SQL queries.• Experience in data modeling and working with large enterprise-scale relational databases.• Familiarity with Azure Cloud Platform and related tools.• Strong analytical skills with the ability to interpret complex data sets and generate actionable insights.• Excellent problem-solving and troubleshooting skills.• Ability to manage multiple projects and stakeholders in a fast-paced environment.• Strong communication and collaboration skills to engage with cross-functional teams.",https://www.linkedin.com/jobs/view/4192811867/
4185426536,Business Intelligence Analyst,Associate,Full-time,Analyst,Building Materials,"Roles & Responsibilities: • Design and develop interactive dashboards and reports in Power BI to support business performance tracking and decision-making. • Build efficient data models using Power BI and Power Query to ensure optimal report performance and scalability. • Write DAX formulas to create calculated columns, measures, and custom calculations to enhance reporting capabilities. • Write and optimize SQL queries to extract, transform, and load data from SQL Server into Power BI for analysis and reporting. • Implement best practices in data visualization to ensure clear, effective, & visually appealing presentation of data. Deliver actionable insights through storytelling techniques. • Analyze and interpret complex data sets to identify trends, anomalies, and insights that can drive business decisions. • Work closely with cross-functional teams to understand business requirements and translate them into effective reports and dashboards. Present insights and recommendations to stakeholders. • Perform ad-hoc analysis in Excel as and when required. • Stay up to date with the latest developments in Power BI, SQL, and data analytics. • Identify opportunities to improve processes, enhance tools, and automate tasks. • Use Python for data automation, cleansing, and advanced analytics tasks as needed. • Regularly conduct dashboard & report maintenance to ensure the data accuracy of the reports. • Create and maintain documentation including requirements, design and user manuals. Required Skills and Experience: • Minimum 1.5 years of experience with Power BI, including proficiency in data modeling, • Power Query, DAX, and data visualization. • Minimum 1 year of experience with SQL for data extraction and manipulation. • Advanced Excel skills. • Practical knowledge of Python. • Strong analytical and problem-solving skills. • Excellent communication and interpersonal skills. • Ability to work independently and as part of a team. • Curiosity and a passion for learning new technologies.",https://www.linkedin.com/jobs/view/4185426536/
4187000492,Business Analyst,Mid-Senior level,Full-time,Analyst and Strategy/Planning,"E-learning, Software Development, and Data Infrastructure and Analytics","About the Role:Vedantu is looking for a business analyst to join our business planning team. This role plays a crucial part in driving data-backed decision-making, optimizing sales performance, and supporting strategic business planning. The ideal candidate should have strong expertise in MS Office (Excel, PowerPoint, etc.), SQL proficiency and the ability to develop Python automations.Prior experience in sales analytics or business finance will be highly valued. A background in EdTech is a plus.Key Responsibilities:Business Insights & Decision SupportDefine and track key business metrics (KPIs) such as revenue, sales funnel efficiency, and lead-to-conversion ratesPerform trend analysis, cohort analysis, and predictive modeling to identify business opportunities and risksSupport revenue forecasting, sales performance tracking, and business strategy formulationConduct deep-dive analyses to uncover inefficiencies in lead flow, conversion rates, pricing, and customer segmentsCollaborate with sales, finance, and leadership teams to provide actionable insights that drive growthDevelop easy-to-understand reports and presentations to communicate findings to stakeholdersData Extraction & AutomationMaintain excel-based models and dashboards to support real-time business decisionsWrite optimized SQL queries to extract and manipulate large datasetsDevelop python-based automations to streamline reporting and business processesEnsure accurate and efficient data extraction from multiple internal systems (CRM, sales data, lead tracking, etc.)Requirements2-5 years of experience in a Business Analytics, Sales Analytics, or Business Finance roleStrong proficiency in SQL for querying and analyzing large datasetsAdvanced excel skills (Pivot Tables, lookups, power query preferred) and PowerPoint for reportingHands-on experience with python for automating reports and analyticsAbility to work with large data sets and distill key insights for business decision-makingPrior experience in sales analytics, business finance, or revenue planning is a strong plusExposure to EdTech or high-growth consumer businesses is an advantageStrong problem-solving skills and the ability to communicate insights effectively to stakeholdersWhy Join US?Work in a high-impact, data-driven role that directly influences business strategyCollaborate with cross-functional teams in a fast-paced, high-growth EdTech environmentOpportunity to enhance skills in business analytics, automation, and data-driven decision-makingIf you are passionate about data analytics, business planning, and problem solving, we’d love to hear from you",https://www.linkedin.com/jobs/view/4187000492/
4187929255,Brand Executive,Executive,Full-time,Marketing,Manufacturing,"Qualification & Experience • MBA/PGDM with 4-6 years of experience • Experience of at-least 2 years in Marketing is required, should have experience in handling IMRB/Nielsen data Key Deliverables of the Role • Work with activation and creative agencies on aspects like artwork, adaptations, in-store activations etc.• Drive sales team/ supply chain interactions for marketing-sales activations and materials for NPDs| New SKU Launch• Analyse & Publish analytics for relevant categories/brand• Lead on ground execution of brand activations• SAP Master Data management• Managing Contracts",https://www.linkedin.com/jobs/view/4187929255/
4184591188,Business Analyst,Mid-Senior level,Full-time,"Analyst, Business Development, and Information Technology","IT Services and IT Consulting, Banking, and Investment Banking","Greetings from TCS BPS!! Direct Walk-In Opportunity for Business Analysis - Payments, Flexcube, Reconciliation at Tata Consultancy Services Mumbai on 22nd March 2025 Note: Candidates with relevant experience can directly attend the interview. Please go through the norms below before you attend.Job Role: Process Expert & Process Lead Process: Business Analyst - Payments OR Reconciliation OR Flexcube Walk in Drive Date: Saturday, 22nd March 2025. Location: Tata Consultancy Services Ltd, TRIL IT 4, Infinity IT Park, Gen A K Vaidya Marg, Dindoshi, Malad, Mumbai - 400097 Timing: 09:00 AM - 12:00 PM Candidate to Carry: Updated CV, Photocopy of Aadhaar and EPFO service history, All education /employment documents. Job Requirement: Any full-time graduate (10+2+3). Willingness to work in Night Shifts. Good Communication Skills Written and Oral. Mode of Salary credit should be through bank from all the employers (No Cash in hand) All educational and employment documents are mandatory to have. Skill Requirement: 5 to 12 Years of experience in Business Analysis - Reconciliation OR Payments OR Flex cube. PFB the norms to be followed during the Interview process. We will not be responsible for any loss of original certificates viz, (X / XII / Graduation, PG, any other certificates etc.). It is the sole responsibility of the candidates. Two / four-wheelers can be parked in the parking area. Candidates must wait in the lounge. Water dispensers are available. Rest rooms are located near the wash area of the cafeteria. ""TCS does not charge any fee at any stage of the recruitment & selection process. TCS has not authorized any person/agency/partner to collect any fee for recruitment from candidates. If you notice the above, please bring it to our attention immediately.” *** Kindly share this information with your friends and bring them along with you ****",https://www.linkedin.com/jobs/view/4184591188/
4187300219,HR Data Analyst,Associate,Full-time,Analyst and Human Resources,E-Learning Providers,"HR MIS AnalystAbout the Role:We are looking for a highly analytical and detail-oriented HR MIS Analyst to manage and optimize our HR data, generate reports, and provide actionable insights. The ideal candidate will be proficient in HR systems, data analytics, and Excel to support HR operations and decision-making.Key Responsibilities:HR Data Management: Maintain and update HR databases, ensuring accuracy and completeness of employee records.Reporting & Analytics: Generate HR reports (headcount, attrition, payroll, attendance, performance, etc.) using Excel / Google Sheets, and HRMS tools.Dashboard Creation: Develop interactive dashboards and visualizations in Power BI/Tableau for HR metrics tracking.Attendance & Payroll Support: Work with HR and finance teams to ensure timely processing of attendance and payroll data.Compliance & Audits: Assist in HR compliance reporting, audits, and documentation as per company policies.Process Optimization: Identify automation opportunities and improve HR reporting efficiency.Stakeholder Collaboration: Work closely with HR, finance, and business leaders to provide data-driven insights.Key Skills Required:✔️ Strong proficiency in MS Excel (VLOOKUP, Pivot Tables, Macros, Advanced Formulas)✔️ Experience with HRMS/HRIS systems preferred (Darwinbox)✔️ SQL knowledge for HR data extraction (Preferred)✔️ Experience with Power BI/Tableau for HR analytics (Preferred)✔️ Knowledge of payroll, attendance, and workforce planning✔️ Strong analytical and problem-solving skills✔️ Attention to detail and ability to manage large datasetsPreferred Experience:Prior experience in HR MIS, HR Analytics, or HR OperationsExperience working with HRMS/HRIS platformsFamiliarity with automation toolsWhy Join Us?Work in a dynamic, fast-paced HR environmentOpportunity to contribute to data-driven HR decision-makingExposure to the latest HR tech and analytics tools",https://www.linkedin.com/jobs/view/4187300219/
4183483574,Healthcare Data Analyst,Entry level,Full-time,Information Technology,IT Services and IT Consulting,"Healthcare Data analyst ,PL/SQL, SQL, Data mapping, STTM creation, Data profiling, ReportsA day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction. You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain. You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews. You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes. You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!",https://www.linkedin.com/jobs/view/4183483574/
